support,itemsets
0.07856747648508626,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(-0.001, 20.0]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.0640309843569237,"frozenset({'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'popularity_popularity=(-0.001, 0.0997]'})"
0.06755193400734369,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(20.0, 97.0]', 'popularity_popularity=(-0.001, 0.0997]'})"
0.05120466777325084,"frozenset({'popularity_popularity=(-0.001, 0.0997]', 'runtime_runtime=(20.0, 97.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.09561893264926312,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.03601428499572456,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.09556863336854284,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(20.0, 97.0]'})"
0.03606458427644485,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(20.0, 97.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.05532920879231427,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'runtime_runtime=(20.0, 97.0]'})"
0.05960464765353855,"frozenset({'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(20.0, 97.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.07746089230923998,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.06272320305819627,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.05724058145968513,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(20.0, 97.0]'})"
0.08294351390775112,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'runtime_runtime=(20.0, 97.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.0893818218399477,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'runtime_runtime=(20.0, 97.0]'})"
0.05060107640460741,"frozenset({'popularity_popularity=(16.712, 11474.647]', 'runtime_runtime=(20.0, 97.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.16900558322015996,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.06810522609526684,"frozenset({'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.08797344197977969,"frozenset({'releaseYear_releaseYear=(1901.999, 2016.0]', 'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.11875660178059454,"frozenset({'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.030380765555052563,"frozenset({'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(-0.001, 6.4]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.0513555656154117,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.05090287208892913,"frozenset({'voteAvg_voteAvg=(6.4, 10.0]', 'runtime_runtime=(20.0, 97.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.05673758865248227,"frozenset({'releaseYear_releaseYear=(1901.999, 2016.0]', 'runtime_runtime=(20.0, 97.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.042653790050802276,"frozenset({'runtime_runtime=(20.0, 97.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.05261304763341884,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'releaseYear_releaseYear=(1901.999, 2016.0]', 'runtime_runtime=(20.0, 97.0]'})"
0.13450027664604397,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(20.0, 97.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]'})"
0.03324782455610885,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'runtime_runtime=(20.0, 97.0]', 'releaseYear_releaseYear=(2025.0, 2026.0]'})"
0.09209798299884311,"frozenset({'releaseYear_releaseYear=(1901.999, 2016.0]', 'runtime_runtime=(20.0, 97.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.02691011518535285,"frozenset({'runtime_runtime=(20.0, 97.0]', 'releaseYear_releaseYear=(2016.0, 2025.0]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.06423218147980483,"frozenset({'runtime_runtime=(97.0, 750.0]', 'popularity_popularity=(0.0997, 16.712]', 'voteAvg_voteAvg=(-0.001, 6.4]'})"
0.060560333987223984,"frozenset({'runtime_runtime=(97.0, 750.0]', 'popularity_popularity=(0.0997, 16.712]', 'voteAvg_voteAvg=(6.4, 10.0]'})"
0.060862129671545695,"frozenset({'voteCount_voteCount=(-0.001, 193.0]', 'popularity_popularity=(0.0997, 16.712]', 'runtime_runtime=(97.0, 750.0]'})"
0.06393038579548313,"frozenset({'runtime_runtime=(97.0, 750.0]', 'popularity_popularity=(0.0997, 16.712]', 'voteCount_voteCount=(193.0, 30788.0]'})"
0.06946330667471455,"frozenset({'runtime_runtime=(97.0, 750.0]', 'popularity_popularity=(0.0997, 16.712]', 'releaseYear_releaseYear=(1901.999, 2016.0]'})"
